schemaname,tablename,policyname,permissive,roles,cmd,qual,with_check
public,account_deletion_requests,Users can create deletion requests,PERMISSIVE,{public},INSERT,null,(auth.uid() = user_id)
public,account_deletion_requests,Users can update own deletion requests,PERMISSIVE,{public},UPDATE,((auth.uid() = user_id) AND (status = 'pending'::text)),null
public,account_deletion_requests,Users can view own deletion requests,PERMISSIVE,{public},SELECT,(auth.uid() = user_id),null
public,categories,Categories are viewable by everyone,PERMISSIVE,{public},SELECT,true,null
public,comments,Anyone can view non-deleted comments,PERMISSIVE,{public},SELECT,(NOT is_deleted),null
public,comments,Users can create their own comments,PERMISSIVE,{public},INSERT,null,(auth.uid() = user_id)
public,comments,Users can soft delete their own comments,PERMISSIVE,{public},UPDATE,(auth.uid() = user_id),(is_deleted = true)
public,comments,Users can update their own comments,PERMISSIVE,{public},UPDATE,(auth.uid() = user_id),null
public,conversation_participants,Users can join conversations,PERMISSIVE,{public},INSERT,null,(auth.uid() = user_id)
public,conversation_participants,Users can view conversation participants,PERMISSIVE,{public},SELECT,"((user_id = auth.uid()) OR (EXISTS ( SELECT 1
   FROM conversation_participants cp
  WHERE ((cp.conversation_id = conversation_participants.conversation_id) AND (cp.user_id = auth.uid())))))",null
public,conversation_participants,Users can view participants of their conversations,PERMISSIVE,{public},SELECT,"(conversation_id IN ( SELECT conversation_participants_1.conversation_id
   FROM conversation_participants conversation_participants_1
  WHERE (conversation_participants_1.user_id = auth.uid())))",null
public,conversations,Users can create conversations,PERMISSIVE,{public},INSERT,null,true
public,conversations,Users can view conversations they participate in,PERMISSIVE,{public},SELECT,"(id IN ( SELECT conversation_participants.conversation_id
   FROM conversation_participants
  WHERE (conversation_participants.user_id = auth.uid())))",null
public,conversations,Users can view their conversations_access,PERMISSIVE,{public},SELECT,"(EXISTS ( SELECT 1
   FROM conversation_participants cp
  WHERE ((cp.conversation_id = conversations.id) AND (cp.user_id = auth.uid()))))",null
public,follows,Anyone can view follows,PERMISSIVE,{public},SELECT,true,null
public,follows,Users can follow others,PERMISSIVE,{public},INSERT,null,(auth.uid() = follower_id)
public,follows,Users can unfollow,PERMISSIVE,{public},DELETE,(auth.uid() = follower_id),null
public,list_comments,Comments are viewable by everyone,PERMISSIVE,{public},SELECT,true,null
public,list_comments,Users can create comments,PERMISSIVE,{public},INSERT,null,(auth.uid() = user_id)
public,list_comments,Users can delete own comments,PERMISSIVE,{public},DELETE,(auth.uid() = user_id),null
public,list_comments,Users can update own comments,PERMISSIVE,{public},UPDATE,(auth.uid() = user_id),null
public,list_follows,Users can delete their own list follows,PERMISSIVE,{public},DELETE,(auth.uid() = user_id),null
public,list_follows,Users can insert their own list follows,PERMISSIVE,{public},INSERT,null,(auth.uid() = user_id)
public,list_follows,Users can view their own list follows,PERMISSIVE,{public},SELECT,(auth.uid() = user_id),null
public,list_items,List items viewable if list is viewable,PERMISSIVE,{public},SELECT,"(EXISTS ( SELECT 1
   FROM lists
  WHERE ((lists.id = list_items.list_id) AND ((lists.privacy = 'public'::text) OR (lists.creator_id = auth.uid())))))",null
public,list_items,Users can manage items in own lists,PERMISSIVE,{public},ALL,"(EXISTS ( SELECT 1
   FROM lists
  WHERE ((lists.id = list_items.list_id) AND (lists.creator_id = auth.uid()))))",null
public,list_likes,Anyone can view likes,PERMISSIVE,{public},SELECT,true,null
public,list_likes,Likes are viewable by everyone,PERMISSIVE,{public},SELECT,true,null
